2018 Rank,City,State,2018 Estimate,2010 Census,Change %,2016 land area(sq mi),2016 land area (km sq),2016 population density (/sq mi),2016 population density (/km sq),Location,Summary,Latitude,Longitude
231,Ann Arbor,Michigan,121890,113934,+6.98,28.1  ,72.8 ,"4,298 ","1,659", ﻿42.2761°N 83.7309°W,"Ann Arbor is a city in the U.S. state of Michigan and the county seat of Washtenaw County.  The 2010 census recorded its population to be 113,934, making it the sixth largest city in Michigan.Ann Arbor is home to the University of Michigan. The university significantly shapes Ann Arbor's economy as it employs about 30,000 workers, including about 12,000 in the medical center. The city's economy is also centered on high technology, with several companies drawn to the area by the university's research and development infrastructure.Ann Arbor was founded in 1824, named for wives of the village's founders, both named Ann, and the stands of bur oak trees. The University of Michigan moved from Detroit to Ann Arbor in 1837, and the city grew at a rapid rate in the early to mid-20th century. During the 1960s and 1970s, the city gained a reputation as a center for left-wing politics. Ann Arbor became a focal point for political activism, such as opposition to the Vietnam War and support for the legalization of cannabis.", ﻿42.2761,83.7309
232,Berkeley,California,121643,112580,+8.05,10.5  ,27.2 ,"11,547 ","4,458", ﻿37.8670°N 122.2991°W,Summary not be fetched due to disambiguation, ﻿37.8670,122.2991
233,Allentown,Pennsylvania,121433,118032,+2.88,17.5  ,45.3 ,"6,882 ","2,657", ﻿40.5936°N 75.4784°W,Summary not be fetched due to disambiguation, ﻿40.5936,75.4784
234,Richardson,Texas,120981,99223,+21.93,28.6  ,74.1 ,"3,963 ","1,530", ﻿32.9723°N 96.7081°W,Summary not be fetched due to disambiguation, ﻿32.9723,96.7081
235,Odessa,Texas,120568,99940,+20.64,45.2  ,117.1 ,"2,608 ","1,007", ﻿31.8838°N 102.3411°W,"Odessa (also known as Odesa; Ukrainian: Оде́са [ɔˈdɛsɐ]; Russian: Оде́сса [ɐˈdʲesə]) is the third most populous city of Ukraine and a major tourism center, seaport and transport hub located on the northwestern shore of the Black Sea. It is also the administrative center of the Odessa Oblast and a multiethnic cultural center. Odessa is sometimes called the ""pearl of the Black Sea"", the ""South Capital"" (under the Russian Empire and Soviet Union), and ""Southern Palmyra"".
Before the Tsarist establishment of Odessa, an ancient Greek settlement existed at its location as elsewhere along the northwestern Black Sea coast. A more recent Tatar settlement was also founded at the location by Hacı I Giray, the Khan of Crimea in 1440 that was named after him as ""Hacıbey"". After a period of Lithuanian Grand Duchy control, Hacibey and surroundings became part of the domain of the Ottomans in 1529 and remained there until the empire's defeat in the Russo-Turkish War of 1792.
In 1794, the city of Odessa was founded by a decree of the Russian empress Catherine the Great. From 1819 to 1858, Odessa was a free port. During the Soviet period it was the most important port of trade in the Soviet Union and a Soviet naval base. On 1 January 2000, the Quarantine Pier at Odessa Commercial Sea Port was declared a free port and free economic zone for a period of 25 years.
During the 19th century, Odessa was the fourth largest city of Imperial Russia, after Moscow, Saint Petersburg and Warsaw. Its historical architecture has a style more Mediterranean than Russian, having been heavily influenced by French and Italian styles. Some buildings are built in a mixture of different styles, including Art Nouveau, Renaissance and Classicist.Odessa is a warm-water port. The city of Odessa hosts both the Port of Odessa and Port Yuzhne, a significant oil terminal situated in the city's suburbs. Another notable port, Chornomorsk, is located in the same oblast, to the south-west of Odessa. Together they represent a major transport hub integrating with railways. Odessa's oil and chemical processing facilities are connected to Russian and European networks by strategic pipelines.", ﻿31.8838,102.3411
236,Arvada,Colorado,120492,106433,+13.21,38.6  ,100.0 ,"3,043 ","1,175", ﻿39.8337°N 105.1503°W,Summary not be fetched due to disambiguation, ﻿39.8337,105.1503
237,Cambridge,Massachusetts,118977,105162,+13.14,6.4  ,16.6 ,"17,289 ","6,675", ﻿42.3760°N 71.1187°W,"Cambridge ( KAYM-brij) is a university city and the county town of Cambridgeshire, England, on the River Cam approximately 50 miles (80 km) north of London. At the United Kingdom Census 2011, its population was 123,867 including 24,506 students. Cambridge became an important trading centre during the Roman and Viking ages, and there is archaeological evidence of settlement in the area as early as the Bronze Age. The first town charters were granted in the 12th century, although modern city status was not officially conferred until 1951.
The world-renowned University of Cambridge was founded in 1209.  The buildings of the university include King's College Chapel, Cavendish Laboratory, and the Cambridge University Library, one of the largest legal deposit libraries in the world. The city's skyline is dominated by several college buildings, along with the spire of the Our Lady and the English Martyrs Church, the chimney of Addenbrooke's Hospital and St John's College Chapel tower. Anglia Ruskin University, which evolved from the Cambridge School of Art and the Cambridgeshire College of Arts and Technology, also has its main campus in the city.
Cambridge is at the heart of the high-technology Silicon Fen with industries such as software and bioscience and many start-up companies born out of the university. More than 40 per cent of the workforce have a higher education qualification, more than twice the national average. The Cambridge Biomedical Campus, one of the largest biomedical research clusters in the world, is soon to house premises of AstraZeneca, a hotel and the relocated Papworth Hospital.The first game of association football took place at Parker's Piece. The Strawberry Fair music and arts festival and Midsummer Fair are held on Midsummer Common, and the annual Cambridge Beer Festival takes place on Jesus Green. The city is adjacent to the M11 and A14 roads. Cambridge station is less than an hour from London King's Cross railway station.", ﻿42.3760,71.1187
238,Sugar Land,Texas,118600,78817,+50.48,34.0  ,88.1 ,"3,488 ","1,347", ﻿29.5994°N 95.6142°W,"Sugar Land is a city in Fort Bend County, Texas, United States, located in the southwestern part of the Houston–The Woodlands–Sugar Land metropolitan area. Located about 19 miles (31 km) southwest of downtown Houston, Sugar Land is a populous suburban municipality centered around the junction of Texas State Highway 6 and U.S. Route 59. Beginning in the 19th century, the present-day Sugar Land area was home to a large sugar plantation situated in the fertile floodplain of the Brazos River. Following the consolidation of local plantations into Imperial Sugar Company in 1908, Sugar Land grew steadily as a company town and incorporated as a city in 1959. Since then, Sugar Land has grown rapidly alongside other edge cities around Houston, with large-scale development of master-planned communities contributing to population swells since the 1980s.
Sugar Land is one of the most affluent and fastest-growing cities in Texas. Its population increased more than 158% between 1990 and 2000. Between 2000 and 2007, Sugar Land also saw a 46% increase in jobs. As of the 2010 census, the city's population was 78,817. Following the annexation of the Greatwood and New Territory communities in December 2017, the city's population was estimated at 118,118 as of January 1, 2019.Sugar Land is home to the headquarters of Imperial Sugar; the company's main sugar refinery and distribution center were once located in the city. The Imperial Sugar crown logo is featured in the city seal and logo.", ﻿29.5994,95.6142
239,Beaumont,Texas,118428,118296,+0.11,82.1  ,212.6 ,"1,441 ",556, ﻿30.0849°N 94.1453°W,Summary not be fetched due to disambiguation, ﻿30.0849,94.1453
240,Lansing,Michigan,118427,114297,+3.61,39.1  ,101.3 ,"2,967 ","1,146", ﻿42.7143°N 84.5593°W,"Lansing  is the capital of the U.S. state of Michigan. It is mostly in Ingham County, although portions of the city extend west into Eaton County and north into Clinton County. The 2010 Census placed the city's population at 114,297, making it the fifth largest city in Michigan. The population of its Metropolitan Statistical Area (MSA) was 464,036, while the even larger Combined Statistical Area (CSA) population, which includes Shiawassee County, was 534,684. It was named the new state capital of Michigan in 1847, ten years after Michigan became a state.
The Lansing metropolitan area, colloquially referred to as ""Mid-Michigan"", is an important center for educational, cultural, governmental, commercial, and industrial functions. Neighboring East Lansing is home to Michigan State University, a public research university with an enrollment of more than 50,000.  The area features two medical schools, one veterinary school, two nursing schools, and two law schools.  It is the site of the Michigan State Capitol, the state Supreme Court, the Court of Appeals, a federal court, the Library of Michigan and Historical Center, and headquarters of four national insurance companies.
Lansing is the only U.S. state capital (among the 47 located in counties) that is not also a county seat. The seat of government of Ingham County is Mason, but the county maintains some offices in Lansing.", ﻿42.7143,84.5593
241,Evansville,Indiana,117963,117429,+0.45,47.3  ,122.5 ,"2,526 ",975, ﻿37.9877°N 87.5347°W,"Evansville is a city and the county seat of Vanderburgh County, Indiana, United States. The population was 117,429 at the 2010 census, making it the state's third-most populous city after Indianapolis and Fort Wayne, the largest city in Southern Indiana, and the 232nd-most populous city in the United States. It is the commercial, medical, and cultural hub of Southwestern Indiana and the Illinois-Indiana-Kentucky tri-state area, home to over 911,000 people. The 38th parallel crosses the north side of the city and is marked on Interstate 69.
Situated on an oxbow in the Ohio River, the city is often referred to as the ""Crescent Valley"" or ""River City"". As a testament to the Ohio's grandeur, early French explorers named it La Belle Rivière (""The Beautiful River""). The area has been inhabited by various indigenous cultures for millennia, dating back at least 10,000 years. Angel Mounds was a permanent settlement of the Mississippian culture from 1000 AD to around 1400 AD. The European-American city was founded in 1812.
Four NYSE companies (Accuride, Berry Global, OneMain Financial, and Vectren) are headquartered in Evansville, along with the global operations center for NYSE company Mead Johnson. Three other companies traded on the NASDAQ (Escalade, Old National Bank, and Shoe Carnival) are also headquartered in Evansville. The city is home to public and private enterprise in many areas, as Evansville serves as the region's economic hub.
Evansville is home to Tropicana Evansville, the state's first casino; Mesker Park Zoo and Botanic Garden, one of the state's oldest and largest zoos; and sports tourism industry. The city has several educational institutions. The University of Evansville is a small private school on the city's east side, while the University of Southern Indiana is a larger public institution just outside the city's westside limits. The Indiana University School of Medicine also maintains a campus in Evansville. Other local educational institutions include the nationally ranked Signature School and the Evansville Vanderburgh Public Library. In 2008, Evansville was voted the best city in the country in which ""to live, work, and play"" by the readers of Kiplinger, and in 2009 as the 11th best.", ﻿37.9877,87.5347
242,Rochester,Minnesota,116961,106769,+9.55,54.6  ,141.4 ,"2,088 ",806, ﻿44.0154°N 92.4772°W,Summary not be fetched due to disambiguation, ﻿44.0154,92.4772
243,Independence,Missouri,116925,116830,+0.08,77.8  ,201.5 ,"1,504 ",581, ﻿39.0855°N 94.3521°W,"Independence is a condition of a person, nation, country, or state in which its residents and population, or some portion thereof, exercise self-government, and usually sovereignty, over the territory. The opposite of independence is the status of a dependent territory.", ﻿39.0855,94.3521
244,Fairfield,California,116884,105321,+10.98,40.9  ,105.9 ,"2,806 ","1,083", ﻿38.2593°N 122.0321°W,Summary not be fetched due to disambiguation, ﻿38.2593,122.0321
245,Provo,Utah,116702,112488,+3.75,41.7  ,108.0 ,"2,803 ","1,082", ﻿40.2453°N 111.6448°W,Summary not be fetched due to disambiguation, ﻿40.2453,111.6448
246,Clearwater,Florida,116478,107685,+8.17,25.9  ,67.1 ,"4,415 ","1,705", ﻿27.9789°N 82.7666°W,"Clearwater is a city located in Pinellas County, Florida, United States, northwest of Tampa and St. Petersburg. To the west of Clearwater lies the Gulf of Mexico and to the southeast lies Tampa Bay. As of the 2010 census, the city had a population of 107,685. Clearwater is the county seat of Pinellas County and is the smallest of the three principal cities in the Tampa-St. Petersburg-Clearwater metropolitan area, most commonly referred to as the Tampa Bay Area.
Cleveland Street is one of the city's historic avenues, and the city includes Spectrum Field and Coachman Park. The city is separated by the Intracoastal Waterway from Clearwater Beach.
Clearwater is the home of Clearwater Marine Aquarium, where bottlenose dolphins Winter and Hope live.
The worldwide headquarters for the Church of Scientology is located in Clearwater.", ﻿27.9789,82.7666
247,College Station,Texas,116218,93857,+23.82,51.0  ,132.1 ,"2,199 ",849, ﻿30.5852°N 96.2964°W,Summary not be fetched due to disambiguation, ﻿30.5852,96.2964
248,West Jordan,Utah,116046,103712,+11.89,32.3  ,83.7 ,"3,520 ","1,360", ﻿40.6024°N 112.0008°W,"West Jordan is a city in Salt Lake County, Utah, United States. It is a rapidly growing suburb of Salt Lake City and has a mixed economy. According to the 2010 Census, the city had a population of 103,712, placing it as the fourth most populous in the state. The city occupies the southwest end of the Salt Lake Valley at an elevation of 4,330 feet (1,320 m). Named after the nearby Jordan River, the limits of the city begin on the river's western bank and end in the eastern foothills of the Oquirrh Mountains, where Kennecott Copper Mine, the world's largest man-made excavation is located.
Settled in the mid-19th century, the city has developed into its own regional center. As of 2012, the city has four major retail centers; with Jordan Landing being one of the largest mixed-use planned developments in the Intermountain West. Companies headquartered in West Jordan include Mountain America Credit Union, Lynco Sales & Service, SME Steel, and Cyprus Credit Union. The city has one major hospital, Jordan Valley Medical Center, and a campus of Salt Lake Community College, which is designed to become the main campus by 2020.
City landmarks include Gardner Village, established in 1850, and South Valley Regional Airport, formerly known as ""Salt Lake Airport #2."" The airport serves general aviation operations as well as a base for the 211th Aviation Regiment of the Utah Army National Guard flying Apache and Black Hawk helicopters. It is home to professional gamer Tyler Blevins and comedian Kevin Dougall.", ﻿40.6024,112.0008
249,Carlsbad,California,115877,105328,+10.02,37.7  ,97.6 ,"3,023 ","1,167", ﻿33.1239°N 117.2828°W,"Carlsbad is a city in the North County region of San Diego County, California, United States. The city is 87 miles (140 km) south of downtown Los Angeles and 35 miles (56 km) north of downtown San Diego and is part of the San Diego-Carlsbad, CA Metropolitan Statistical Area. Carlsbad is a popular tourist destination. The city's estimated 2014 population was 112,299. Among the nation's top 20 wealthiest communities, Carlsbad is the 5th richest city in the state of California with a median household income close to US$105,000.", ﻿33.1239,117.2828
250,El Monte,California,115586,113475,+1.86,9.6  ,24.9 ,"12,063 ","4,658", ﻿34.0746°N 118.0291°W,"El Monte  is a residential, industrial, and commercial city in Los Angeles County, California, the United States. The city lies in the San Gabriel Valley east of the city of Los Angeles.
El Monte's slogan is ""Welcome to Friendly El Monte""  and historically is known as ""The End of the Santa Fe Trail"". As of the 2010 census, the city had a total population of 113,475, down from 115,965 at the 2000 census.  As of 2010, El Monte was the 51st largest city in California.

", ﻿34.0746,118.0291
251,Murrieta,California,114985,103466,+11.13,33.6  ,87.0 ,"3,324 ","1,283", ﻿33.5721°N 117.1904°W,"Murrieta is a city in southwestern Riverside County, California, United States. The population of Murrieta was 103,466 at the 2010 census. Murrieta experienced a 133.7% population increase between 2000 and 2010, according to the most recent census, making Murrieta one of the fastest-growing cities in the state. This population boom in 2010 surpassed the population of the historically larger and more commercial city of Temecula to the south for the first time since the incorporation of either city. Temecula and Murrieta together form the southwestern anchor of the Inland Empire region. Largely residential in character, Murrieta is typically characterized as a commuter town, with many of its residents commuting to jobs in San Diego County, Orange County, Los Angeles County, Temecula, and Camp Pendleton.
Murrieta is bordered by the city of Temecula to the south, the cities of Menifee and Wildomar to the north, and the unincorporated community of French Valley to the east.
Murrieta is located in the center of the Los Angeles-San Diego mega-region which contains a population of about 23 million people.
Murrieta's city motto is ""Gem of the Valley,"" and a diamond is prominently featured on its seal as well as various elements throughout the city, such as street signs and freeway interchanges.", ﻿33.5721,117.1904
252,Temecula,California,114742,100097,+14.63,37.3  ,96.6 ,"3,031 ","1,170", ﻿33.4931°N 117.1317°W,"Temecula  is a city in southwestern Riverside County, California, United States. The city is a tourist and resort destination, with the Temecula Valley Wine Country, Old Town Temecula, the Temecula Valley Polo Club, the Temecula Valley Balloon & Wine Festival, the Temecula Valley International Film Festival, championship golf courses, and resort accommodations for tourists which contribute to the city's economic profile.The City of Temecula, forming the southwestern anchor of the Inland Empire region, is approximately 58 miles (93 km) north of downtown San Diego and 85 miles (137 km) southeast of downtown Los Angeles. Temecula is bordered by the city of Murrieta to the north and the Pechanga Indian Reservation and San Diego County to the south. The population was 100,097 during the 2010 census and an estimated 2018 population of 113,181. It was incorporated on December 1, 1989.", ﻿33.4931,117.1317
253,Springfield,Illinois,114694,116250,−1.34,60.1  ,155.7 ,"1,925 ",743, ﻿39.7911°N 89.6446°W,Summary not be fetched due to disambiguation, ﻿39.7911,89.6446
254,Palm Bay,Florida,114194,103190,+10.66,65.7  ,170.2 ,"1,676 ",647, ﻿27.9856°N 80.6626°W,Summary not be fetched due to disambiguation, ﻿27.9856,80.6626
255,Costa Mesa,California,113615,109960,+3.32,15.7  ,40.7 ,"7,186 ","2,775", ﻿33.6659°N 117.9123°W,"Costa Mesa () is a city in Orange County, California. Since its incorporation in 1953, the city has grown from a semi-rural farming community of 16,840 to a primarily suburban and edge city with an economy based on retail, commerce, and light manufacturing. The population was 109,960 at the 2010 United States Census.

", ﻿33.6659,117.9123
256,Westminster,Colorado,113479,106114,+6.94,31.7  ,82.1 ,"3,592 ","1,387", ﻿39.8822°N 105.0644°W,"Westminster is a government district in Central London within the City of Westminster, part of the West End, on the north bank of the River Thames. Westminster's concentration of visitor attractions and historic landmarks, one of the highest in London, includes the Palace of Westminster, Buckingham Palace, Westminster Abbey and Westminster Cathedral.
Historically the area lay within St Margaret's parish, City & Liberty of Westminster, Middlesex.
The name Westminster (Old English: Westmynstre) originated from the  informal description of the abbey church and royal peculiar of St Peter's (Westminster Abbey), literally West of the City of London (indeed, until the Reformation there was a reference to the 'East Minster' at Minories (Holy Trinity Priory, Aldgate) east of the City). The abbey was part of the royal palace that had been created here by Edward the Confessor. It has been the home of the permanent institutions of England's government continuously since about 1200 (High Middle Ages' Plantagenet times), and from 1707 the British Government — formally titled Her Majesty's Government.
In a government context, Westminster often refers to the Parliament of the United Kingdom, located in the UNESCO World Heritage Palace of Westminster — also known as the Houses of Parliament. The closest tube stations are Westminster and St James's Park, on the Jubilee, Circle, and District lines.
The area is the centre of Her Majesty's Government, with Parliament in the Palace of Westminster and most of the major Government ministries known as Whitehall, itself the site of the royal palace that replaced that at Westminster.
Within the area is Westminster School, a major public school which grew out of the Abbey, and the University of Westminster, attended by over 20,000 students. Bounding Westminster to the north is Green Park, a Royal Park of London.", ﻿39.8822,105.0644
257,North Charleston,South Carolina,113237,97471,+16.18,73.7  ,190.9 ,"1,483 ",573, ﻿32.9178°N 80.0650°W,"North Charleston is the third-largest city in the U.S. state of South Carolina, with incorporated areas in Berkeley, Charleston, and Dorchester counties.  On June 12, 1972, the city of North Charleston was incorporated and was rated as the ninth-largest city in South Carolina. As of the 2010 Census, North Charleston had a population of 97,471, growing to an estimated population of 114,000+ in 2019, and with a current area of more than 76.6 square miles (198.5 km2). As defined by the U.S. Office of Management and Budget, for use by the U.S. Census Bureau and other U.S. Government agencies for statistical purposes only, North Charleston is included within the Charleston–North Charleston–Summerville metropolitan area and the Charleston-North Charleston urban area. North Charleston is one of the state's major industrial centers and is the state's top city in gross retail sales.", ﻿32.9178,80.0650
258,Miami Gardens,Florida,113069,107167,+5.51,18.2  ,47.1 ,"6,212 ","2,398", ﻿25.9489°N 80.2436°W,"Miami Gardens is a city located in north-central Miami-Dade County, Florida. Its boundaries stretch from I-95 and NE 2nd Avenue on the east, to NW 47th and NW 57th Avenues on the west, and from the Broward County line on the north, to 151st Street on the south. The city name comes from one of the major roadways through the area, Miami Gardens Drive. According to the 2017 estimate from the US Census Bureau, the city had a population of 113,750, and it is the largest city in Florida that has a majority African American population. It is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census.", ﻿25.9489,80.2436
259,Manchester,New Hampshire,112525,109565,+2.70,33.1  ,85.7 ,"3,339 ","1,289", ﻿42.9849°N 71.4441°W,"Manchester () is a city and metropolitan borough in Greater Manchester, England. The city itself is the sixth-largest in the United Kingdom with a population of 545,500 as of 2017, but it lies within the United Kingdom's second-most populous built-up area, with a population of 3.2 million. It is fringed by the Cheshire Plain to the south, the Pennines to the north and east, and an arc of towns with which it forms a continuous conurbation. The local authority is Manchester City Council.
The recorded history of Manchester began with the civilian settlement associated with the Roman fort of Mamucium or Mancunium, which was established in about AD 79 on a sandstone bluff near the confluence of the rivers Medlock and Irwell. It is historically a part of Lancashire, although areas of Cheshire south of the River Mersey were incorporated in the 20th century. The first to be included, Wythenshawe, was added to the city in 1931. Throughout the Middle Ages Manchester remained a manorial township, but began to expand ""at an astonishing rate"" around the turn of the 19th century. Manchester's unplanned urbanisation was brought on by a boom in textile manufacture during the Industrial Revolution, and resulted in it becoming the world's first industrialised city.Manchester achieved city status in 1853. The Manchester Ship Canal opened in 1894, creating the Port of Manchester and directly linking the city to the Irish Sea, 36 miles (58 km) to the west. Its fortune declined after the Second World War, owing to deindustrialisation, but the IRA bombing in 1996 led to extensive investment and regeneration.In 2014, the Globalisation and World Cities Research Network ranked Manchester as a beta world city, the highest-ranked British city apart from London. The 2018  Globalisation and World Cities Research Network had Manchester ranked alongside Edinburgh and Birmingham as Beta cities. Manchester is the third-most visited city in the UK, after London and Edinburgh.
It is notable for its architecture, culture, musical exports, media links, scientific and engineering output, social impact, sports clubs and transport connections. Manchester Liverpool Road railway station was the world's first inter-city passenger railway station; scientists first split the atom, developed the stored-program computer and produced graphene in the city. Manchester hosted the 2002 Commonwealth Games.", ﻿42.9849,71.4441
260,High Point,North Carolina,112316,104371,+7.61,55.2  ,143.0 ,"2,015 ",778, ﻿35.9900°N 79.9905°W,Summary not be fetched due to disambiguation, ﻿35.9900,79.9905
261,Downey,California,112269,111772,+0.44,12.4  ,32.1 ,"9,134 ","3,527", ﻿33.9382°N 118.1309°W,"Robert John Downey Jr. (born April 4, 1965) is an American actor. His career has included critical and popular success in his youth, followed by a period of substance abuse and legal difficulties, and a resurgence of commercial success in middle age. For three consecutive years from 2012 to 2015, Downey topped the Forbes list of Hollywood's highest-paid actors, and in 2008, Time magazine named him one of the 100 most influential people in the world. His films have grossed over $5.3 billion in North America and over $12.9 billion worldwide, making Downey the second-highest-grossing domestic box-office star and the highest-grossing worldwide box-office star of all time.Making his acting debut at the age of five, appearing in his father's film Pound (1970), Downey appeared in roles associated with the Brat Pack, such as the teen sci-fi comedy Weird Science (1985) and the drama Less Than Zero (1987). He starred as the title character in the 1992 film Chaplin, for which he earned a nomination for the Academy Award for Best Actor and won the BAFTA Award for Best Actor in a Leading Role. After being released in 2000 from the California Substance Abuse Treatment Facility and State Prison where he was incarcerated on drug charges, Downey joined the cast of the TV series Ally McBeal playing Calista Flockhart's love interest. The role earned him a Golden Globe Award. His character was terminated when Downey was fired after two drug arrests in late 2000 and early 2001. After his last stay in a court-ordered drug treatment program, Downey achieved sobriety.
Initially, bond completion companies would not insure Downey for roles in feature films. Mel Gibson, who had been a close friend to Downey since both had co-starred in Air America, paid the insurance bond for the 2003 film The Singing Detective. Downey's performance in that film paved the way for his return to feature films including a role in the black comedy crime film Kiss Kiss Bang Bang (2005), the mystery thriller Zodiac (2007), and the satirical action comedy Tropic Thunder (2008); for the latter he was nominated for an Academy Award for Best Supporting Actor. Downey went on to star as the Marvel Comics superhero Iron Man in ten films within the Marvel Cinematic Universe, beginning with Iron Man (2008) and concluding with Avengers: Endgame (2019). He has also played the title character in Guy Ritchie's Sherlock Holmes (2009), which earned him his second Golden Globe win, and its sequel (2011).", ﻿33.9382,118.1309
262,Clovis,California,112022,95631,+17.14,24.2  ,62.7 ,"4,404 ","1,700", ﻿36.8282°N 119.6849°W,Summary not be fetched due to disambiguation, ﻿36.8282,119.6849
263,Pompano Beach,Florida,111954,99845,+12.13,24.0  ,62.2 ,"4,558 ","1,760", ﻿26.2416°N 80.1339°W,"Pompano Beach  is a city in Broward County, Florida, United States, along the coast of the Atlantic Ocean just to the north of Fort Lauderdale. The nearby Hillsboro Inlet forms part of the Atlantic Intracoastal Waterway. As of the 2010 census the city's population was 99,845, Located 35 miles north of Miami, it is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census.
Pompano Beach is currently in the middle of a redevelopment process to revitalize its beachfront and historic downtown. The city has also been listed as one of the top real estate markets, being featured in CNN, Money and the Wall Street Journal as one of the country's top vacation home markets. Pompano Beach Airpark, located within the city, is the home of the Goodyear Blimp Spirit of Innovation.", ﻿26.2416,80.1339
264,Pueblo,Colorado,111750,106595,+4.84,53.6  ,138.8 ,"2,058 ",795, ﻿38.2699°N 104.6123°W,"In the Southwestern United States, the term Pueblo refers to communities of Native Americans, both in the present and in ancient times. The first Spanish explorers of the Southwest used this term to describe the communities housed in apartment structures built of stone, adobe mud, and other local material. These structures were usually multi-storied buildings surrounding an open plaza. The rooms were accessible only through ladders lowered by the inhabitants, thus protecting them from break-ins and unwanted guests. Larger pueblos were occupied by hundreds to thousands of Pueblo people. Various federally recognized tribes have traditionally resided in pueblos of such design.", ﻿38.2699,104.6123
265,Elgin,Illinois,111683,108188,+3.23,37.4  ,96.9 ,"2,998 ","1,158", ﻿42.0396°N 88.3217°W,Summary not be fetched due to disambiguation, ﻿42.0396,88.3217
266,Lowell,Massachusetts,111670,106519,+4.84,13.6  ,35.2 ,"8,129 ","3,139", ﻿42.6390°N 71.3211°W,Summary not be fetched due to disambiguation, ﻿42.6390,71.3211
267,Antioch,California,111535,102372,+8.95,29.4  ,76.1 ,"3,772 ","1,456", ﻿37.9791°N 121.7962°W,"Antioch on the Orontes (; Ancient Greek: Ἀντιόχεια ἡ ἐπὶ Ὀρόντου, Antiókheia hē epì Oróntou; also Syrian Antioch) was an ancient Greek city on the eastern side of the Orontes River. Its ruins lie near the modern city of Antakya, Turkey, and lends the modern city its name.
Antioch was founded near the end of the fourth century BC by Seleucus I Nicator, one of Alexander the Great's generals. The city's geographical, military, and economic location benefited its occupants, particularly such features as the spice trade, the Silk Road, and the Royal Road. It eventually rivaled Alexandria as the chief city of the Near East. The city was the capital of the Seleucid Empire until 63 B.C. when the Romans took control, making it the seat of the Roman governor. From the early 4th century the city was the seat of the Count of the Orient, head of the regional administration of sixteen provinces. It was also the main center of Hellenistic Judaism at the end of the Second Temple period. Antioch was one of the most important cities in the eastern Mediterranean of Rome's dominions. It covered almost 1,100 acres (4.5 km2) within the walls of which one quarter was mountain, leaving 750 acres (3.0 km2) about one-fifth the area of Rome within the Aurelian Walls.
Antioch was called ""the cradle of Christianity"" as a result of its longevity and the pivotal role that it played in the emergence of both Hellenistic Judaism and early Christianity. The Christian New Testament asserts that the name ""Christian"" first emerged in Antioch.  It was one of the four cities of the Syrian tetrapolis, and its residents were known as Antiochenes. The city was a metropolis of a quarter million people during Augustan times, but it declined to relative insignificance during the Middle Ages because of warfare, repeated earthquakes, and a change in trade routes, which no longer passed through Antioch from the far east following the Mongol invasions and conquests.", ﻿37.9791,121.7962
268,West Palm Beach,Florida,111398,99919,+11.49,55.1  ,142.7 ,"1,963 ",758, ﻿26.7464°N 80.1251°W,"West Palm Beach is a city in and the county seat of Palm Beach County, Florida, United States. It is located immediately to the west of the adjacent Palm Beach, which is situated on a barrier island across the Lake Worth Lagoon. The population was 99,919 at the 2010 census. West Palm Beach is a principal city of the Miami metropolitan area, which was home to an estimated 6,158,824 people in 2017.It is the oldest incorporated municipality in Greater Miami, having been incorporated as a city two years before Miami in November 1894. West Palm Beach is located approximately 68 miles (109 km) north of Downtown Miami.", ﻿26.7464,80.1251
269,Peoria,Illinois,111388,115007,−3.15,48.2  ,124.8 ,"2,371 ",915, ﻿40.7515°N 89.6174°W,Summary not be fetched due to disambiguation, ﻿40.7515,89.6174
270,Everett,Washington,111262,103019,+8.00,33.3  ,86.2 ,"3,275 ","1,264", ﻿47.9566°N 122.1914°W,Summary not be fetched due to disambiguation, ﻿47.9566,122.1914
271,Ventura,California,111128,106433,+4.41,21.8  ,56.5 ,"5,027 ","1,941", ﻿34.2678°N 119.2542°W,Summary not be fetched due to disambiguation, ﻿34.2678,119.2542
